company_name,roce_percentage
Nestle India Ltd,185.43
Adani Green Energy Ltd,96.5
Tata Consultancy Services Ltd,64.3
Life Insurance Corporation of India,63.79
Coal India Ltd,63.6
Indian Railway Catering & Tourism Corporation Ltd,53.8
Britannia Industries Ltd,48.9
Abbott India Ltd,46.0
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",41.75
Infosys Ltd,40.0
Hindustan Aeronautics Ltd,38.9
"ITC Ltd
",34.76
Bharat Electronics Ltd,34.6
LTIMindtree Ltd,34.1
Bajaj Auto Ltd,33.5
Adani Power Ltd,32.2
Bharat Petroleum Corporation Ltd,32.1
Eicher Motors Ltd,31.1
Pidilite Industries Ltd,29.7
HCL Technologies Ltd,29.6
"Hero MotoCorp Ltd
",29.1
"Hindustan Unilever Ltd
",27.2
"Mahindra & Mahindra Ltd
",26.98
Dr Reddys Laboratories Ltd,26.5
Godrej Consumer Products Ltd,26.49
Siemens Ltd,25.6
Interglobe Aviation Ltd,24.5
Havells India Ltd,24.4
Trent Ltd,23.8
Maruti Suzuki India Ltd,23.67
Torrent Pharmaceuticals Ltd,23.2
"Cipla Ltd
",22.8
"Titan Company Ltd
",22.7
ICICI Lombard General Insurance Company Ltd,22.5
Dabur India Ltd,22.3
"Indian Oil Corporation
",21.31
Adani Total Gas Ltd,21.2
Bajaj Finserv Ltd,21.14
Bosch Ltd,20.6
Tata Motors Ltd,20.1
Oil & Natural Gas Corpn Ltd,19.71
Avenue Supermarts Ltd,19.4
Sun Pharmaceuticals Industries Ltd,17.3
"Apollo Hospitals
Chain of Indian private hospitals",17.2
Larsen & Toubro Ltd,17.18
Divis Laboratories Ltd,16.5
Shree Cement Ltd,14.8
GAIL (India) Ltd,14.7
Samvardhana Motherson International Ltd,13.7
JSW Steel Ltd,13.36
Jindal Steel & Power Ltd,13.2
Power Grid Corporation of India Ltd,13.2
SBI Life Insurance Company Ltd,13.2
Bajaj Holdings & Investment Ltd,13.1
Bharti Airtel Ltd,13.1
"Adani Ports & Special Economic Zone Ltd
",12.9
Ambuja Cements Ltd,12.8
Bajaj Finance Ltd,11.9
Tech Mahindra Ltd,11.9
Adani Enterprises Ltd,11.6
Hindalco Industries Ltd,11.3
"Shriram Finance Ltd
",11.3
Macrotech Developers Ltd,11.1
"Tata Power Company Ltd
",11.1
Tata Consumer Products Ltd,10.6
NTPC Ltd,10.58
Cholamandalam Investment & Finance Company Ltd,10.4
REC Ltd,10.0
Power Finance Corporation Ltd,9.96
"Reliance Industries Ltd
",9.61
Grasim Industries Ltd,9.3
Adani Energy Solutions Ltd,9.0
ICICI Prudential Life Insurance Company Ltd,8.75
JSW Energy Ltd,8.59
IndusInd Bank Ltd,7.93
"Kotak Mahindra Bank Ltd
",7.86
HDFC Bank Ltd,7.67
"NHPC Ltd
",7.67
ICICI Bank Ltd,7.6
Axis Bank Ltd,7.06
"Tata Steel Ltd
",7.02
Canara Bank,6.63
HDFC Life Insurance Company Ltd,6.61
Bank of Baroda,6.33
State Bank of India,6.16
DLF Ltd,5.74
Indian Railway Finance Corporation Ltd,5.73
Info Edge (India) Ltd,3.65
"Bharat Heavy Electricals Limited
",3.28
Jio Financial Services Ltd,2.16
Punjab National Bank,1.63
TVS Motor Company Ltd,
